"SCREW DIAMETER (MM)","35","45","55","60","75","90","100"
""
"","Layflat Width (mm)","450","750/900","1000/1250","1250/1500","2000","2500","3000"
"Thichness Range (micron)","15-50","20-80","20-100","20-120","20-150","20-150","20-200"
"Max. Output (kg/hr)","25-30","50-60","75-85","110-120","160-180","220-230","250-280"
""
"","Screw L/D Ratio","30:1","30:1","30:1","30:1","30:1","30:1","30:1"
"Motor Power (KW)","7.5","15","22.5","30","45","50","60"
"Heater Power (KW)","4.1","9.7","10.2","15","22.4","29.5","31.5"
""
"","Die Size (HM /LD)","50/100","90/175","150/275","200/325","300/475","400/600","450/700"
"Heater Power (KW)","5.1","6.7","8.8","11.5","15.3","18.7","22.8"
"Air ring Blower (KW)","1","2.25","3.75","5","7.5","10","11.5"
""
"","Nip Roll Size (mm)","500","800/1000","1100/1370","1370/1625","2100","2650","3150"
"Line Speed (M/Min)","10-50","10-50","6-60","6-60","6-70","6-70","6-70"
"Main Nip (KW)","0.75","0.75","1.12","1.5","2","3","3"
""
"","Type of Winder","Compact","Compact","Separate","Separate","Separate","Separate","Separate"
"Motor Power (KW)","0.75","0.75","1.12","1","1.5","2","2"
""
"","Total Heating Load (KW)","9.2","16.4","19","26.5","37.7","48.2","54.3"
"Total Connected Load (KW)","19.2","35.15","47.49","64","93.7","113.2","130.8"
"Specific Power
Consumption KW/KG/HR","0.34","0.37","0.35","0.35","0.35","0.33","0.33"
"Space Reqd. (L*W*H) MTR","2.0*2.0*2.8","2.5*2.5*4.2","4.0*3.5*5.1","6.1*6.1*7.2","6.5*6.5*8.2","7.5*6.5*8.7","7.5*6.5*9.5"
